neighbourhood_group,average_price,average_minimum_nights,total_unique_hosts
Bronx,85.83119266055046,3.723853211009174,789
Brooklyn,119.42274197561582,5.322518039313262,15965
Manhattan,182.96108033240998,7.3796398891966755,16577
Queens,96.09530533003883,4.70490645958348,3983
Staten Island,101.79892761394102,3.973190348525469,256
